"Reporting starts","Reporting ends","Ad set name","Ad set delivery","Amount spent (TWD)",Impressions,Reach,"Attribution setting",Bid,"Bid type","CTR (link click-through rate)","Offline purchases","Link clicks","Website checkouts initiated","In-app purchases","3-second video plays rate per impressions","Checkouts initiated","Landing page views","Optimization events","Optimization event indicator","Optimization event conversion window","In-app adds to cart","3-second video plays",ThruPlays,"Video plays at 25%","Offline adds to cart","Meta adds to cart",Purchases,"Website purchases","Video plays at 75%","Offline checkouts initiated","Video plays at 95%","Offline purchases conversion value","App landing page views","Meta purchase conversion value","Video plays at 50%","In-app purchases conversion value","Website landing page views","Meta checkouts initiated","Video plays at 100%","ATC Rate","CPC (all) (TWD)","In-app purchase ROAS (return on ad spend)","Landing page views rate per link clicks","Purchases conversion value","Video average play time","Purchase ROAS (return on ad spend)","In-app checkouts initiated","Website adds to cart","Cost per purchase (TWD)",Frequency,"Adds to cart","Website purchases conversion value","Meta purchases","Hold Rate","Website purchase ROAS (return on ad spend)"
2025-12-04,2025-12-10,,0,19482,109550,60883,"7-day click, 1-day view, or 1-day engaged-view",0,0,,,,,,17.034231,,,,,,,,,,,,,,,,,,,,,,,,,,4.5402,,93.959971,,00:00:00,,,,,1.799353,,,,,
2025-12-10,2025-12-10,早鳥_廣泛受眾_~1/5截止,active,1180,4079,2323,"7-day click, 1-day view, or 1-day engaged-view",0,ABSOLUTE_OCPM,5.295416,,216,27,,10.688894,27,178,6,actions:offsite_conversion.fb_pixel_purchase,"1-day view, 7-day click",,436,115,437,,,7,6,163,,126,,,,235,,178,,115,0.31018519,3.794212,,82.407407,70036,3,59.352542,,67,168.571429,1.755919,67,70036,1,0.26376147,59.352542
2025-12-10,2025-12-10,"測試 - 2025-常態影片廣告 RT14_VC_ATC_ENG90_exPUR（重定向）",active,421,1634,1364,"7-day click, 1-day view, or 1-day engaged-view",0,ABSOLUTE_OCPM,2.141983,,35,2,,11.444308,2,31,,,,,187,47,90,,,,,24,,20,,,,51,,31,,19,0.11428571,8.42,,88.571429,,3,,,4,,1.197947,4,,,0.10160428,
2025-12-10,2025-12-10,"測試 - 2025-常態影片廣告 INT_discount_gift（常態興趣）",inactive,0,0,0,-,0,ABSOLUTE_OCPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,00:00:00,,,,,0,,,,,
2025-12-10,2025-12-10,"測試 - 2025-常態影片廣告 BRD",active,1196,7477,6138,"7-day click, 1-day view, or 1-day engaged-view",0,ABSOLUTE_OCPM,1.925906,,144,27,,17.84138,27,129,9,actions:offsite_conversion.fb_pixel_purchase,"1-day view, 7-day click",,1334,382,1484,,,9,9,472,,364,,,,719,,129,,349,0.39583333,5.245614,,89.583333,7666,2,6.409699,,57,132.888889,1.218149,57,7666,,0.26161919,6.409699
2025-12-09,2025-12-09,早鳥_廣泛受眾_~1/5截止,active,1207,4291,2574,"7-day click, 1-day view, or 1-day engaged-view",0,ABSOLUTE_OCPM,3.635516,,156,18,,11.186204,18,143,3,actions:offsite_conversion.fb_pixel_purchase,"1-day view, 7-day click",,480,117,478,,,3,3,152,,128,,,,260,,143,,120,0.23076923,4.696498,,91.666667,2598,3,2.152444,,36,402.333333,1.667055,36,2598,,0.25,2.152444
2025-12-09,2025-12-09,"測試 - 2025-常態影片廣告 RT14_VC_ATC_ENG90_exPUR（重定向）",active,476,1741,1426,"7-day click, 1-day view, or 1-day engaged-view",0,ABSOLUTE_OCPM,2.757036,,48,6,,13.612866,6,47,2,actions:offsite_conversion.fb_pixel_purchase,"1-day view, 7-day click",,237,57,109,,,2,2,35,,28,,,,62,,47,,26,0.1875,8.206897,,97.916667,766,3,1.609244,,9,238,1.220898,9,766,,0.10970464,1.609244
2025-12-09,2025-12-09,"測試 - 2025-常態影片廣告 INT_discount_gift（常態興趣）",inactive,0,0,0,-,0,ABSOLUTE_OCPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,00:00:00,,,,,0,,,,,
2025-12-09,2025-12-09,"測試 - 2025-常態影片廣告 BRD",active,1238,8610,7514,"7-day click, 1-day view, or 1-day engaged-view",0,ABSOLUTE_OCPM,1.579559,,136,8,,17.630662,8,130,2,actions:offsite_conversion.fb_pixel_purchase,"1-day view, 7-day click",,1518,494,1675,,,2,2,580,,482,,,,860,,130,,473,0.13970588,6.098522,,95.588235,2160,2,1.74475,,19,619,1.145861,19,2160,,0.3115942,1.74475
2025-12-08,2025-12-08,早鳥_廣泛受眾_~1/5截止,active,1225,4575,2894,"7-day click, 1-day view, or 1-day engaged-view",0,ABSOLUTE_OCPM,3.956284,,181,13,,14.142077,13,168,2,actions:offsite_conversion.fb_pixel_purchase,"1-day view, 7-day click",,647,162,659,,,2,2,238,,174,,,,361,,168,,165,0.12154696,4.553903,,92.81768,33852,3,27.634286,,22,612.5,1.580857,22,33852,,0.25502318,27.634286
