"Reporting starts","Reporting ends","Ad name","Ad delivery","Amount spent (TWD)",Impressions,Reach,"Attribution setting",Bid,"Bid type","Quality ranking","Engagement rate ranking","Conversion rate ranking","CTR (link click-through rate)","Offline purchases","Link clicks","Website checkouts initiated","In-app purchases","3-second video plays rate per impressions","Checkouts initiated","Landing page views","In-app adds to cart","3-second video plays",ThruPlays,"Video plays at 25%","Offline adds to cart","Meta adds to cart",Purchases,"Website purchases","Video plays at 75%","Offline checkouts initiated","Video plays at 95%","Offline purchases conversion value","App landing page views","Meta purchase conversion value","Video plays at 50%","In-app purchases conversion value","Website landing page views","Meta checkouts initiated","Video plays at 100%","ATC Rate","CPC (all) (TWD)","In-app purchase ROAS (return on ad spend)","Landing page views rate per link clicks","Purchases conversion value","Video average play time","Purchase ROAS (return on ad spend)","In-app checkouts initiated","Website adds to cart","Cost per purchase (TWD)",Frequency,"Adds to cart","Website purchases conversion value","Meta purchases","Hold Rate","Website purchase ROAS (return on ad spend)","Ad set budget","Ad set budget type",Ends,"Account name","Campaign name","Ad set name"
2025-12-04,2025-12-10,,0,19482,109550,60883,"7-day click, 1-day view, or 1-day engaged-view",0,0,-,-,-,,,,,,17.034231,,,,,,,,,,,,,,,,,,,,,,,4.5402,,93.959971,,00:00:00,,,,,1.799353,,,,,,0,0,,,,
2025-12-10,2025-12-10,影片_B2C氛圍,active,651,2198,1582,"7-day click, 1-day view, or 1-day engaged-view",0,ABSOLUTE_OCPM,Average,-,-,6.414923,,141,17,,19.836215,17,115,,436,115,437,,,4,4,163,,126,,,,235,,115,,115,0.40425532,3.35567,,81.560284,9095,3,13.970814,,57,162.75,1.389381,57,9095,,0.26376147,13.970814,1700,Daily,2026-02-14,"102796323413794, TWD",2026春節早鳥預購_CNY,早鳥_廣泛受眾_~1/5截止
2025-12-10,2025-12-10,靜態圖_B2B主打,active,529,1881,1093,"7-day click, 1-day view, or 1-day engaged-view",0,ABSOLUTE_OCPM,-,-,-,3.987241,,75,10,,,10,63,,,,,,,3,2,,,,,,,,,63,,,0.13333333,4.521368,,84,60941,00:00:00,115.200378,,10,176.333333,1.720952,10,60941,1,,115.200378,1700,Daily,2026-02-14,"102796323413794, TWD",2026春節早鳥預購_CNY,早鳥_廣泛受眾_~1/5截止
2025-12-10,2025-12-10,BRD_20251203_Video_D_ASMR_Tuile,inactive,32,117,106,"7-day click, 1-day view, or 1-day engaged-view",0,ABSOLUTE_OCPM,-,-,-,0.854701,,1,,,16.239316,,1,,19,5,18,,,,,6,,5,,,,9,,1,,5,0,32,,100,,3,,,,,1.103774,,,,0.26315789,,850,Daily,Ongoing,"102796323413794, TWD","測試 - 2025-常態影片廣告","測試 - 2025-常態影片廣告 BRD"
2025-12-10,2025-12-10,BRD_VideoC_快節奏_1202,active,181,782,615,"7-day click, 1-day view, or 1-day engaged-view",0,ABSOLUTE_OCPM,Average,Average,"Above average",2.046036,,16,2,,13.299233,2,13,,104,35,73,,,1,1,37,,6,,,,49,,13,,4,0.375,8.227273,,81.25,1018,3,5.624309,,6,181,1.271545,6,1018,,0.03846154,5.624309,850,Daily,Ongoing,"102796323413794, TWD","測試 - 2025-常態影片廣告","測試 - 2025-常態影片廣告 BRD"
2025-12-10,2025-12-10,RT14_光影影片_1202,active,3,22,20,"7-day click, 1-day view, or 1-day engaged-view",0,ABSOLUTE_OCPM,-,-,-,4.545455,,1,,,18.181818,,,,4,,4,,,,,,,,,,,,,,,,0,3,,0,,2,,,,,1.1,,,,0,,300,Daily,Ongoing,"102796323413794, TWD","測試 - 2025-常態影片廣告","測試 - 2025-常態影片廣告 RT14_VC_ATC_ENG90_exPUR（重定向）"
2025-12-10,2025-12-10,"RT14_常態影片廣告 影片A-Ad1",active,418,1612,1353,"7-day click, 1-day view, or 1-day engaged-view",0,ABSOLUTE_OCPM,Average,Average,"Above average",2.109181,,34,2,,11.352357,2,31,,183,47,86,,,,,24,,20,,,,51,,31,,19,0.11764706,8.530612,,91.176471,,3,,,4,,1.191426,4,,,0.10382514,,300,Daily,Ongoing,"102796323413794, TWD","測試 - 2025-常態影片廣告","測試 - 2025-常態影片廣告 RT14_VC_ATC_ENG90_exPUR（重定向）"
2025-12-10,2025-12-10,"測試 - 2025-常態影片廣告 影片A-Ad2",active,983,6578,5663,"7-day click, 1-day view, or 1-day engaged-view",0,ABSOLUTE_OCPM,"Above average",Average,"Above average",1.930678,,127,25,,18.409851,25,115,,1211,342,1393,,,8,8,429,,353,,,,661,,115,,340,0.4015748,4.795122,,90.551181,6648,2,6.762971,,51,122.875,1.161575,51,6648,,0.2807597,6.762971,850,Daily,Ongoing,"102796323413794, TWD","測試 - 2025-常態影片廣告","測試 - 2025-常態影片廣告 BRD"
2025-12-09,2025-12-09,影片_B2C氛圍,active,608,2301,1739,"7-day click, 1-day view, or 1-day engaged-view",0,ABSOLUTE_OCPM,Average,-,-,3.954802,,91,14,,20.860495,14,77,,480,117,478,,,3,3,152,,128,,,,260,,77,,120,0.34065934,4.02649,,84.615385,2598,3,4.273026,,31,202.666667,1.323174,31,2598,,0.25,4.273026,1700,Daily,2026-02-14,"102796323413794, TWD",2026春節早鳥預購_CNY,早鳥_廣泛受眾_~1/5截止
2025-12-09,2025-12-09,靜態圖_B2B主打,active,599,1990,1256,"7-day click, 1-day view, or 1-day engaged-view",0,ABSOLUTE_OCPM,-,-,-,3.266332,,65,4,,,4,66,,,,,,,,,,,,,,,,,66,,,0.07692308,5.650943,,101.538462,,00:00:00,,,5,,1.584395,5,,,,,1700,Daily,2026-02-14,"102796323413794, TWD",2026春節早鳥預購_CNY,早鳥_廣泛受眾_~1/5截止
